Cell	Cluster	CellType	NumofReads
SRR5353987	1	MPP	11860
SRR5353988	4	MPP	18082
SRR5353989	1	MPP	27302
SRR5353990	1	MPP	14252
SRR5353991	4	MPP	62240
SRR5353992	1	MPP	16466
SRR5353993	1	MPP	7092
SRR5353994	1	MPP	8090
SRR5353995	1	MPP	20336
SRR5353996	1	MPP	10064
SRR5353997	1	MPP	4034
SRR5353998	1	MPP	67952
SRR5353999	1	MPP	5936
SRR5354001	1	MPP	16720
SRR5354002	1	MPP	7510
SRR5354003	1	MPP	23606
SRR5354004	1	MPP	7862
SRR5354005	1	MPP	7026
SRR5354006	1	MPP	20110
SRR5354007	1	MPP	9392
SRR5354008	1	MPP	42856
SRR5354009	1	MPP	11878
SRR5354010	1	MPP	19606
SRR5354011	1	MPP	17270
SRR5354012	1	MPP	4622
SRR5354016	1	MPP	45310
SRR5354017	1	MPP	32722
SRR5354018	1	MPP	22108
SRR5354019	1	MPP	4098
SRR5354020	1	MPP	25304
SRR5354021	1	MPP	13774
SRR5354022	4	MPP	53738
SRR5354023	1	MPP	21246
SRR5354025	1	MPP	15916
SRR5354027	1	MPP	24200
SRR5354030	4	MPP	20542
SRR5354031	1	MPP	13860
SRR5354032	1	MPP	12700
SRR5354033	1	MPP	18650
SRR5354034	1	MPP	13870
SRR5354035	4	MPP	22194
SRR5354037	1	MPP	14612
SRR5354039	4	MPP	20528
SRR5354042	1	MPP	6760
SRR5354043	1	MPP	6550
SRR5354044	1	MPP	11026
SRR5354045	1	MPP	17986
SRR5354048	1	MPP	5408
SRR5354049	1	LMPP	5390
SRR5354050	1	LMPP	25200
SRR5354051	1	LMPP	57698
SRR5354052	1	LMPP	26550
SRR5354053	1	LMPP	37934
SRR5354054	3	LMPP	14682
SRR5354055	1	LMPP	8174
SRR5354056	2	LMPP	20024
SRR5354057	3	LMPP	92356
SRR5354058	1	LMPP	30890
SRR5354059	3	LMPP	72132
SRR5354060	3	LMPP	11312
SRR5354061	1	LMPP	6024
SRR5354062	1	LMPP	12672
SRR5354063	1	LMPP	5362
SRR5354064	1	LMPP	19836
SRR5354065	1	LMPP	6118
SRR5354066	1	LMPP	23774
SRR5354067	1	LMPP	10686
SRR5354068	1	LMPP	3880
SRR5354069	1	LMPP	10972
SRR5354070	1	LMPP	14500
SRR5354071	1	LMPP	26522
SRR5354072	1	LMPP	17620
SRR5354073	1	LMPP	22282
SRR5354074	1	LMPP	17220
SRR5354075	1	LMPP	33274
SRR5354076	1	LMPP	20650
SRR5354077	1	LMPP	19306
SRR5354078	3	LMPP	18746
SRR5354079	3	LMPP	16332
SRR5354080	1	LMPP	94304
SRR5354081	1	LMPP	47044
SRR5354082	1	LMPP	29018
SRR5354083	1	LMPP	39892
SRR5354084	1	LMPP	17922
SRR5354085	2	LMPP	17866
SRR5354086	1	LMPP	7680
