Cell	Cluster	CellType	NumofReads
SRR1780058	4	GM12878	39054
SRR1780059	4	GM12878	8512
SRR1780060	4	GM12878	27762
SRR1780062	4	GM12878	13938
SRR1780063	4	GM12878	10086
SRR1780065	4	GM12878	76666
SRR1780066	4	GM12878	6954
SRR1780166	4	K562	5192
SRR1780168	4	K562	28626
SRR1780170	4	K562	2912
SRR1780172	4	K562	47300
SRR1780174	4	K562	13226
SRR1780176	4	K562	12972
SRR1780178	4	K562	4580
SRR1780180	4	K562	22198
SRR1780182	4	K562	7544
SRR1780184	4	K562	17502
SRR1780186	4	K562	17836
SRR1780188	4	K562	12836
SRR1780190	4	K562	10430
SRR1780192	4	K562	3784
SRR1780194	4	K562	12810
SRR1780196	4	K562	4946
SRR1780198	4	K562	9396
SRR1780200	4	K562	8214
SRR1780202	4	K562	4780
SRR1780204	4	K562	9416
SRR1780206	4	K562	9816
SRR1780208	4	K562	7664
SRR1780210	4	K562	4084
SRR1780212	4	K562	20924
SRR1780214	4	K562	10310
SRR1780216	4	K562	49500
SRR1780218	4	K562	20064
SRR1780220	4	K562	33240
SRR1780222	4	K562	22324
SRR1780224	4	K562	15094
SRR1780226	4	K562	17016
SRR1780228	4	K562	21036
SRR1780230	4	K562	21260
SRR1780232	4	K562	18418
SRR1780234	4	K562	15052
SRR1780236	4	K562	25974
SRR1780238	4	K562	13730
SRR1780240	4	K562	6718
SRR1780242	4	K562	19186
SRR1780244	4	K562	22744
SRR1780246	4	K562	9378
SRR1780248	4	K562	13108
SRR1780250	4	K562	6662
SRR1780252	4	K562	3320
SRR1780254	4	K562	8206
SRR1780256	4	K562	24072
SRR1780258	4	K562	7046
SRR1780260	4	K562	24484
SRR1780262	4	K562	3946
SRR1780264	4	K562	7356
SRR1780266	4	K562	10092
SRR1780268	4	K562	22154
SRR1780270	4	K562	6082
SRR1780272	4	K562	11226
SRR1780274	4	K562	10264
SRR1780276	4	K562	7800
SRR1780278	4	K562	23952
SRR1780280	4	K562	11398
SRR1780282	4	K562	25452
SRR1780284	4	K562	42188
SRR1780286	4	K562	12268
SRR1780288	4	K562	5778
SRR1780290	4	K562	15672
SRR1780292	4	K562	22642
SRR1780294	4	K562	8790
SRR1780296	4	K562	9348
SRR1780298	4	K562	16266
SRR1780300	4	K562	8118
SRR1780302	4	K562	23558
SRR1780304	4	K562	39216
SRR1780306	4	K562	22428
SRR1780308	4	K562	25452
SRR1780310	4	K562	156790
SRR1780312	4	K562	24256
SRR1780314	4	K562	34808
SRR1780316	4	K562	8412
SRR1780318	4	K562	8896
SRR1780320	4	K562	15158
SRR1780324	4	K562	16862
SRR1780326	4	K562	8868
SRR1780328	4	K562	18794
SRR1780330	4	K562	9830
SRR1780332	4	K562	16416
SRR1780334	4	K562	8830
SRR1780336	4	K562	10144
SRR1780338	4	K562	11760
SRR1780340	4	K562	10524
SRR1780342	4	K562	5460
SRR1780344	4	K562	10354
SRR1780348	4	K562	16936
SRR1780352	4	K562	34320
SRR1780354	4	K562	8524
SRR1780356	4	K562	13374
SRR1780358	4	K562	6984
SRR1780360	4	K562	10612
SRR1780362	4	K562	4244
SRR1780366	4	K562	10422
SRR1780370	1	K562	2288
SRR1780374	4	K562	11318
SRR1780376	4	K562	4790
SRR1780380	4	K562	7588
SRR1780384	4	K562	4794
SRR1780386	4	K562	5728
SRR1780388	4	K562	10574
SRR1780390	4	K562	9630
SRR1780392	4	K562	3182
SRR1780396	4	K562	4348
SRR1780400	4	K562	8642
SRR1780402	4	K562	7952
SRR1780404	4	K562	12356
SRR1780406	4	K562	17666
SRR1780408	4	K562	13218
SRR1780410	4	K562	2670
SRR1780416	4	K562	3644
SRR1780418	4	K562	17156
SRR1780420	4	K562	33792
SRR1780422	4	K562	14414
SRR1780424	4	K562	18314
SRR1780428	4	K562	10052
SRR1780430	4	K562	7728
SRR1780432	4	K562	4604
SRR1780434	4	K562	10654
SRR1780436	4	K562	11214
SRR1780438	4	K562	8464
SRR1780440	4	K562	12786
SRR1780444	4	K562	7122
SRR1780446	4	K562	17022
