Cell	Cluster	CellType	NumofReads	SampleName	JC	Replicates
SRR6357948	1	Jurkat_T_cell	180566	GSM2879916	J	3
SRR6357949	1	Jurkat_T_cell	2348	GSM2879917	J	3
SRR6357950	1	Jurkat_T_cell	29270	GSM2879918	J	3
SRR6357951	1	Jurkat_T_cell	21814	GSM2879919	J	3
SRR6357952	1	Jurkat_T_cell	6016	GSM2879920	J	3
SRR6357953	1	Jurkat_T_cell	17714	GSM2879921	J	3
SRR6357954	1	Jurkat_T_cell	92946	GSM2879922	J	3
SRR6357955	1	Jurkat_T_cell	21222	GSM2879923	J	3
SRR6357956	1	Jurkat_T_cell	208194	GSM2879924	J	3
SRR6357957	1	Jurkat_T_cell	14996	GSM2879925	J	3
SRR6357958	1	Jurkat_T_cell	38884	GSM2879926	J	3
SRR6357959	1	Jurkat_T_cell	15528	GSM2879927	J	3
SRR6357960	1	Jurkat_T_cell	312330	GSM2879928	J	3
SRR6357961	1	Jurkat_T_cell	18318	GSM2879929	J	3
SRR6357962	1	Jurkat_T_cell	13844	GSM2879930	J	3
SRR6357963	1	Jurkat_T_cell	26332	GSM2879931	J	3
SRR6357965	1	Jurkat_T_cell	1002	GSM2879933	None	None
SRR6357967	1	Jurkat_T_cell	6576	GSM2879935	None	None
SRR6357968	1	Jurkat_T_cell	13174	GSM2879936	None	None
SRR6357969	1	Jurkat_T_cell	4522	GSM2879937	None	None
SRR6357970	1	Jurkat_T_cell	1540	GSM2879938	None	None
SRR6357971	1	Jurkat_T_cell	1054	GSM2879939	None	None
SRR6357972	1	Jurkat_T_cell	8060	GSM2879940	None	None
SRR6357973	1	Jurkat_T_cell	1062	GSM2879941	None	None
SRR6357974	1	Jurkat_T_cell	5014	GSM2879942	None	None
SRR6357975	1	Jurkat_T_cell	6394	GSM2879943	None	None
SRR6357976	1	Jurkat_T_cell	5008	GSM2879944	None	None
SRR6357977	1	Jurkat_T_cell	7298	GSM2879945	None	None
SRR6357978	1	Jurkat_T_cell	4888	GSM2879946	None	None
SRR6357979	1	Jurkat_T_cell	33756	GSM2879947	None	None
SRR6357980	1	Jurkat_T_cell	7040	GSM2879948	None	None
SRR6357982	1	Jurkat_T_cell	10006	GSM2879950	None	None
SRR6357983	2	Jurkat_T_cell	1436	GSM2879951	None	None
SRR6357984	1	Jurkat_T_cell	9980	GSM2879952	None	None
SRR6357985	1	Jurkat_T_cell	12152	GSM2879953	None	None
SRR6357986	1	Jurkat_T_cell	3942	GSM2879954	None	None
SRR6357987	1	Jurkat_T_cell	20462	GSM2879955	None	None
SRR6357988	1	Jurkat_T_cell	4548	GSM2879956	None	None
SRR6357989	1	Jurkat_T_cell	5468	GSM2879957	None	None
SRR6357990	1	Jurkat_T_cell	5890	GSM2879958	None	None
SRR6357992	1	Jurkat_T_cell	5190	GSM2879960	None	None
SRR6357993	1	Jurkat_T_cell	1380	GSM2879961	None	None
SRR6357994	1	Jurkat_T_cell	1372	GSM2879962	None	None
SRR6357995	1	Jurkat_T_cell	5326	GSM2879963	None	None
SRR6357996	2	Jurkat_T_cell	10722	GSM2879964	None	None
SRR6357997	2	Jurkat_T_cell	1662	GSM2879965	None	None
SRR6357998	2	Jurkat_T_cell	5220	GSM2879966	None	None
SRR6357999	2	Jurkat_T_cell	31340	GSM2879967	None	None
SRR6358000	2	Jurkat_T_cell	5714	GSM2879968	None	None
SRR6358002	1	Jurkat_T_cell	19454	GSM2879970	None	None
SRR6358003	1	Jurkat_T_cell	5046	GSM2879971	None	None
SRR6358004	1	Jurkat_T_cell	82998	GSM2879972	None	None
SRR6358005	1	Jurkat_T_cell	6396	GSM2879973	None	None
SRR6358006	1	Jurkat_T_cell	5316	GSM2879974	None	None
SRR6358007	1	Jurkat_T_cell	7540	GSM2879975	None	None
SRR6358008	1	Jurkat_T_cell	9088	GSM2879976	None	None
SRR6358009	1	Jurkat_T_cell	1106	GSM2879977	None	None
SRR6358010	1	Jurkat_T_cell	1680	GSM2879978	None	None
SRR6358011	1	Jurkat_T_cell	5562	GSM2879979	None	None
SRR6358012	1	Jurkat_T_cell	22890	GSM2879980	None	None
SRR6358013	1	Jurkat_T_cell	9252	GSM2879981	None	None
SRR6358014	1	Jurkat_T_cell	5588	GSM2879982	None	None
SRR6358015	1	Jurkat_T_cell	3156	GSM2879983	None	None
SRR6358016	1	Jurkat_T_cell	30638	GSM2879984	None	None
SRR6358017	1	Jurkat_T_cell	6056	GSM2879985	None	None
SRR6358018	1	Jurkat_T_cell	13500	GSM2879986	None	None
SRR6358019	2	Jurkat_T_cell	5152	GSM2879987	None	None
SRR6358020	2	Jurkat_T_cell	1012	GSM2879988	None	None
SRR6358021	2	Jurkat_T_cell	4212	GSM2879989	None	None
SRR6358022	1	Jurkat_T_cell	20974	GSM2879990	None	None
SRR6358023	1	Jurkat_T_cell	3862	GSM2879991	None	None
SRR6358024	1	Jurkat_T_cell	13376	GSM2879992	None	None
SRR6358025	1	Jurkat_T_cell	1330	GSM2879993	None	None
SRR6358026	2	Jurkat_T_cell	1468	GSM2879994	None	None
SRR6358027	1	Jurkat_T_cell	2192	GSM2879995	None	None
SRR6358028	1	Jurkat_T_cell	6432	GSM2879996	None	None
SRR6358029	1	Jurkat_T_cell	4562	GSM2879997	None	None
SRR6358030	1	Jurkat_T_cell	27580	GSM2879998	None	None
SRR6358031	2	Jurkat_T_cell	1842	GSM2879999	None	None
SRR6358032	1	Jurkat_T_cell	10810	GSM2880000	None	None
SRR6358033	1	Jurkat_T_cell	2024	GSM2880001	None	None
SRR6358034	1	Jurkat_T_cell	4194	GSM2880002	None	None
SRR6358035	1	Jurkat_T_cell	1324	GSM2880003	None	None
SRR6358036	1	Jurkat_T_cell	12956	GSM2880004	None	None
SRR6358038	1	Jurkat_T_cell	59228	GSM2880006	None	None
SRR6358039	1	Jurkat_T_cell	7226	GSM2880007	None	None
SRR6358042	1	Jurkat_T_cell	1444	GSM2880010	None	None
SRR6358043	1	Jurkat_T_cell	12282	GSM2880011	None	None
SRR6358044	1	Jurkat_T_cell	19592	GSM2880012	None	None
SRR6358045	1	Jurkat_T_cell	9394	GSM2880013	None	None
SRR6358047	1	Jurkat_T_cell	22234	GSM2880015	None	None
SRR6358048	1	Jurkat_T_cell	5242	GSM2880016	None	None
SRR6358049	1	Jurkat_T_cell	16360	GSM2880017	None	None
SRR6358050	1	Jurkat_T_cell	71702	GSM2880018	None	None
SRR6358051	1	Jurkat_T_cell	58568	GSM2880019	None	None
SRR6358052	1	Jurkat_T_cell	1100	GSM2880020	None	None
SRR6358053	1	Jurkat_T_cell	19624	GSM2880021	None	None
SRR6358055	1	Jurkat_T_cell	61284	GSM2880023	None	None
SRR6358056	1	Jurkat_T_cell	11132	GSM2880024	None	None
SRR6358061	1	Naive_T_cell	1008	GSM2880029	C	2
SRR6358062	2	Naive_T_cell	1336	GSM2880030	C	2
SRR6358069	1	Naive_T_cell	11786	GSM2880037	C	2
SRR6358070	1	Naive_T_cell	1740	GSM2880038	C	2
SRR6358071	1	Naive_T_cell	3368	GSM2880039	C	2
SRR6358074	1	Naive_T_cell	1068	GSM2880042	C	2
SRR6358075	1	Naive_T_cell	11616	GSM2880043	C	2
SRR6358080	1	Naive_T_cell	9440	GSM2880048	C	2
SRR6358081	1	Naive_T_cell	2010	GSM2880049	C	2
SRR6358085	1	Naive_T_cell	1402	GSM2880053	C	2
SRR6358088	1	Naive_T_cell	9658	GSM2880056	C	2
SRR6358089	1	Naive_T_cell	2332	GSM2880057	C	2
SRR6358092	1	Naive_T_cell	1046	GSM2880060	C	2
SRR6358094	2	Naive_T_cell	9208	GSM2880062	C	2
SRR6358096	1	Naive_T_cell	9404	GSM2880064	C	2
SRR6358099	1	Naive_T_cell	1064	GSM2880067	C	2
SRR6358100	2	Naive_T_cell	2016	GSM2880068	C	2
SRR6358101	2	Naive_T_cell	7736	GSM2880069	C	2
SRR6358104	1	Naive_T_cell	21846	GSM2880072	C	2
SRR6358105	2	Naive_T_cell	3336	GSM2880073	C	2
SRR6358107	2	Naive_T_cell	9220	GSM2880075	C	2
SRR6358110	1	Naive_T_cell	2200	GSM2880078	C	2
SRR6358113	1	Naive_T_cell	1186	GSM2880081	C	2
SRR6358116	1	Naive_T_cell	127460	GSM2880084	C	2
SRR6358120	2	Naive_T_cell	9482	GSM2880088	C	2
SRR6358121	1	Naive_T_cell	2648	GSM2880089	C	2
SRR6358123	2	Naive_T_cell	3296	GSM2880091	C	2
SRR6358124	1	Naive_T_cell	9714	GSM2880092	C	2
SRR6358128	1	Naive_T_cell	8212	GSM2880096	C	2
SRR6358129	2	Naive_T_cell	2188	GSM2880097	C	2
SRR6358135	1	Naive_T_cell	9948	GSM2880103	C	2
SRR6358138	1	Naive_T_cell	1292	GSM2880106	C	2
SRR6358139	2	Naive_T_cell	1384	GSM2880107	C	2
SRR6358140	1	Naive_T_cell	2300	GSM2880108	C	2
SRR6358146	1	Naive_T_cell	8934	GSM2880114	C	2
SRR6358152	1	Naive_T_cell	1062	GSM2880120	C	2
SRR6358154	1	Naive_T_cell	8530	GSM2880122	C	2
SRR6358157	2	Memory_T_cell	2952	GSM2880125	C	3
SRR6358159	1	Memory_T_cell	7700	GSM2880127	C	3
SRR6358161	2	Memory_T_cell	4600	GSM2880129	C	3
SRR6358164	2	Memory_T_cell	5558	GSM2880132	C	3
SRR6358166	1	Memory_T_cell	11668	GSM2880134	C	3
SRR6358169	2	Memory_T_cell	3254	GSM2880137	C	3
SRR6358170	2	Memory_T_cell	3118	GSM2880138	C	3
SRR6358171	2	Memory_T_cell	9536	GSM2880139	C	3
SRR6358172	2	Memory_T_cell	2980	GSM2880140	C	3
